text@arogov1981m	@arogov1981m	780.909	781.149	но //
text@arogov1981m	@arogov1981m	781.609	782.599	вато и одеваешься //
text@arogov1981m	@arogov1981m	782.704	782.924	но //
text@arogov1981m	@arogov1981m	783.084	794.974	у меня есть возможность работать / и взаимодействовать с людьми которые вообще к моде не имеют никакого отношения / там стереотипов миллион // мужчина не должен быть красивее обезьяны до сих пор актуально // ты делаешь педикюр или маникюр значит ты сумасшедший или кто-то еще/  ааа // 
text@arogov1981m	@arogov1981m	795.159	796.339	а / ааа //
text@arogov1981m	@arogov1981m	796.639	811.389	почему вы надели пиджак зеленого цвета / мужчины такое не носят // а что это вообще / а почему вы с женской сумкой // это вот то / что я слышу в свой адрес постоянно // а почему вы / я там не знаю / почему вы седой // и каждый раз объяснять что я в принципе седой и не крашу волосы //
text@arogov1981m	@arogov1981m	812.959	814.099	ну вот / вот / вот так //
text@arogov1981m	@arogov1981m	814.289	824.949	то есть / стереотипов очень много / но при этом /  э / на самом деле мы достаточно далеко шагнули // есть очень много людей которые следят за собой / и мужчины которые классно выглядят / при этом не относятся никаким образом к моде
text@arogov1981m	@arogov1981m	828.409	828.829	ой //
text@arogov1981m	@arogov1981m	829.989	832.599	да // гоша сейчас объяснит #нрзб#
text@arogov1981m	@arogov1981m	839.064	840.744	#смеется#
text@arogov1981m	@arogov1981m	842.624	843.944	#смеется#
text@arogov1981m	@arogov1981m	885.994	886.314	да //
text@arogov1981m	@arogov1981m	888.194	888.714	ты наприме //
text@arogov1981m	@arogov1981m	905.824	906.624	это стало мейнстримом //
text@arogov1981m	@arogov1981m	907.66	908.02	ненадолго //
text@arogov1981m	@arogov1981m	911.174	916.154	ну кстати / вот пример /  да / вспомним всплеск бренда ватман / вэтмо / ветеменз / если хотите //
text@arogov1981m	@arogov1981m	917.154	917.604	ааа //
text@arogov1981m	@arogov1981m	918.319	919.499	вэтмо // или ватман //
text@arogov1981m	@arogov1981m	919.719	920.599	два // ну два / ээ /
text@arogov1981m	@arogov1981m	920.809	928.809	нет / я преподаватель иностранных языков по образованию / поэтому мы говорим о слудующем // если ты говоришь в контексте на английском / то я произнесу вэтмо //
text@arogov1981m	@arogov1981m	929.619	948.939	но когда мы говорим по-русски мы руссифицируем то что мы произносим // то я скажу ватман / потому что это максимально логично будет в контексте русского языка // мы ж не говорим райф лоурен // мы говорим ральф лоран / или ифсен лоран / ээ / баленсиАга а не баленьсьягА // то есть мне кажется что правильно в контексте русского // ну по французски будет баленьсьягА
text@arogov1981m	@arogov1981m	950.699	950.929	да //
text@arogov1981m	@arogov1981m	951.534	954.294	вот поэтому я считаю что правильно ватман // так вот к чему я //
text@arogov1981m	@arogov1981m	954.574	954.804	да //
text@arogov1981m	@arogov1981m	955.289	957.709	аа // ты ж так не будешь говорить по-русски / ты скажешь дом маржела // 
text@arogov1981m	@arogov1981m	961.82	986.1	к чему я собственно это веду это к тому что / например ватман / которые начали транслировать  / эээ мм / так называемый стиль / эм  / отбросов общества / когда человек выглядит как бомж или бездомный / и таких которые так одевались достаточно много и до того как ватман начали это транслировать // и вот они попали в / в какую-то эту волну / это стало выглядеть модно и круто // кто-то возможно так одевается не потому что они вообще ватман знают //
text@arogov1981m	@arogov1981m	986.6	997.86	вот и все / то есть это то о чем говорил гоша // что-то может быть для кого-то константой / и то что для него было всегда константой становится мейнстримом / суперфэшн / супер актуальным и сейчас это уже не так симпатично //
text@arogov1981m	@arogov1981m	1001.82	1002.12	мгм //
text@arogov1981m	@arogov1981m	1022.46	1023.03	просто факт //
text@arogov1981m	@arogov1981m	1045.24	1045.56	и что?
text@arogov1981m	@arogov1981m	1056.775	1058.155	модничаешь кстати прикольно //
text@arogov1981m	@arogov1981m	1063.645	1064.145	я тоже //
text@arogov1981m	@arogov1981m	1074.285	1074.685	да //
text@gkarzev1986m	@gkarzev1986m	742.21	743.09	#смеется#
text@gkarzev1986m	@gkarzev1986m	768.42	769.62	вообще не знаю как //
text@gkarzev1986m	@gkarzev1986m	834.67	837.34	такое клише мне щас нужно да как-то умно ответить //
text@gkarzev1986m	@gkarzev1986m	838.535	839.055	кх... хорошо //
text@gkarzev1986m	@gkarzev1986m	840.62	842.33	значит мода // это прикольно
text@gkarzev1986m	@gkarzev1986m	843.36	844.89	стиль это // хорошо
text@gkarzev1986m	@gkarzev1986m	845.49	868.72	ээ // мода это индустрия которая / индустрия которая создает добавочную стоимость и / эм / желание потреблять то что тебе не нужно // ты хочешь новые кроссовки хотя страрые не сносились // соответсвенно ты это делаешь / максимально регулярно / дропами  / коллаборациями / коллекциями чем больше тем лучше // стиль это то что / вечно // ну как бы ты выбираешь какой-то один вектор и ему придерживаешься / е / его придерживаешься // в целом все //
text@gkarzev1986m	@gkarzev1986m	871.02	883.15	стиль влияет на моду тоже самое можно сказать это // ммм эээ / мне кажется / не совсем разделимые / э / вещи / ну как бы типо нельзя вот сказать что я стильный / но мне на моду все равно / наверное //
text@gkarzev1986m	@gkarzev1986m	883.52	885.84	#нрзб# бывают люди стильные которым все равно на моду?
text@gkarzev1986m	@gkarzev1986m	887.06	888.14	кто? #смеется#
text@gkarzev1986m	@gkarzev1986m	889.37	889.9	да // #смеется#
text@gkarzev1986m	@gkarzev1986m	898.19	905.93	они могут / они могут попасть в какое-то течение / поэтому они будут модные / например то есть типа какой-то фрик который всю жизнь так одевался и неожиданно он / эээ / ну типо стал...
text@gkarzev1986m	@gkarzev1986m	906.6	907.63	да мейнстримом короче //
text@gkarzev1986m	@gkarzev1986m	908.4	908.63	мгм //
text@gkarzev1986m	@gkarzev1986m	909.11	910.48	и типа он модный вот в данный момент //
